,group,names,scores,logfoldchanges,pvals,pvals_adj
0,0,CNTN3,31.589521,2.2791195,5.142885319801085e-219,8.95530620736963e-215
1,0,GPC6,30.111256,2.2758827,3.451458123282451e-199,3.005012015035866e-195
2,0,NWD2,28.04691,1.9583465,4.356695464932357e-173,2.5287712710289043e-169
3,0,LRFN5,27.417583,1.9100224,1.6926855190015552e-165,7.36868323559352e-162
4,0,CPNE8,27.025852,1.9383107,7.34430564297795e-161,2.557727883223501e-157
5,0,FNBP1L,26.560165,1.815937,1.959895573390201e-155,5.687943603240594e-152
6,0,SATB2,26.493494,1.8519249,1.1518732574164179e-154,2.8653670044845835e-151
7,0,EPHA4,25.968878,1.9217663,1.1130746901668379e-148,2.4227461974843938e-145
8,0,GRM1,25.854406,1.786193,2.170776290823107e-147,4.199969728011418e-144
9,0,CNKSR2,25.502869,1.8037816,1.8320202990855494e-143,3.1900969467976673e-140
10,0,ADGRL2,25.453943,1.792412,6.384345512326213e-143,1.0106418946012395e-139
11,0,GAP43,25.44052,1.7968965,8.98902667249207e-143,1.3043826787342033e-139
12,0,IL1RAPL2,24.996555,2.0481992,6.664099099764696e-138,8.926304432630973e-135
13,0,KIAA1549L,24.806576,1.6729357,7.613590827528518e-136,9.46967550569672e-133
14,0,EML1,24.496143,1.707292,1.6237975209254972e-132,1.8850124154583788e-129
15,0,MPPED1,24.257694,1.6582823,5.484670228428886e-130,5.824564870446696e-127
16,0,CNTN5,24.256208,1.7043324,5.686418353965075e-130,5.824564870446696e-127
17,0,FOXP1,23.93329,1.7544382,1.379496577150391e-126,1.3345096609955422e-123
18,0,LRRC4C,23.746004,1.7707931,1.2083308069383352e-124,1.1074033863798542e-121
19,0,RAPGEF5,23.67828,1.6319578,6.037185766167793e-124,5.256275787313989e-121
20,0,ZNF385B,23.633636,1.6624091,1.7390186219922102e-123,1.4419776792738264e-120
21,0,PDE4B,23.595829,1.6379595,4.253483335318971e-123,3.366632059904966e-120
22,0,DOK5,23.456427,1.6189197,1.136655269094703e-121,8.605468782933071e-119
23,0,TAFA1,23.44186,2.093809,1.6004318732891144e-121,1.1611800087326394e-118
24,0,ARL15,23.378008,1.6336493,7.154800016404149e-121,4.983461307425818e-118
25,0,CACNA1C,23.345032,1.5990038,1.54801977785302e-120,1.0367564766059477e-117
26,0,ATP9A,23.213497,1.6278964,3.3269284460427354e-119,2.145622408553413e-116
27,0,DGKH,23.210623,1.6080579,3.556759677382782e-119,2.211923437938085e-116
28,0,SCN2A,23.204973,1.6004878,4.05605843486459e-119,2.4354532940102448e-116
29,0,PRKCB,23.155832,1.6080749,1.2697851851119145e-118,7.370256476117922e-116
30,0,PVRL3,23.126669,1.6335436,2.4967694129680553e-118,1.4024595415487984e-115
31,0,NEO1,22.973436,1.5615145,8.593733628818964e-117,4.67633386495702e-114
33,0,DLGAP4,22.723688,1.5807273,2.613178277222534e-114,1.3383315688610582e-111
34,0,FBXW7,22.68512,1.5830164,6.283471619303206e-114,3.1261168944836205e-111
35,0,ENSHGLG00000000970,22.646774,1.575787,1.501050493566668e-113,7.260497845687885e-111
36,0,GPR158,22.569834,1.5829126,8.576942416355354e-113,4.036494548540427e-110
37,0,ENSHGLG00000000259,22.551458,1.7779666,1.299321984461346e-112,5.953972030375109e-110
38,0,ARHGAP44,22.544355,1.5557095,1.5254828743196536e-112,6.811085459109776e-110
39,0,SLCO3A1,22.535233,1.5352935,1.8745352615075577e-112,8.160320627157776e-110
40,0,FAM49A,22.525656,1.5569111,2.3268810486367407e-112,9.882434073149164e-110
41,0,KLHL29,22.486902,1.6583258,5.575987471685258e-112,2.295958414999983e-109
42,0,TTC39B,22.486162,1.6386005,5.669684249985601e-112,2.295958414999983e-109
43,0,STMN2,22.45191,1.6386333,1.2258938729319754e-111,4.851475002128293e-109
44,0,SCN1A,22.421041,1.5568398,2.453804711546487e-111,9.495133653813105e-109
45,0,DLG1,22.37702,1.565372,6.590571716045346e-111,2.4948179411195133e-108
46,0,KCNH5,22.29827,1.6887857,3.8406768793707706e-110,1.4229299255421965e-107
47,0,SOBP,22.233068,1.5233434,1.6449871114789914e-109,5.967533452538265e-107
48,0,SPOCK1,22.218199,1.5348781,2.2907203684506363e-109,8.14047219914917e-107
49,0,PRKACB,22.187517,1.6287705,4.533450363331639e-109,1.5788194235338766e-106
50,0,SORBS2,22.066532,1.5429988,6.628369450425405e-108,2.2631332792207367e-105
51,0,SLC2A13,22.018984,1.5368427,1.894679853829943e-107,6.344626979757846e-105
52,0,MAST4,22.01359,1.6158639,2.1341060891506056e-107,7.011545156675376e-105
53,0,LDB2,22.002975,1.5790212,2.6969649588294718e-107,8.69671311631437e-105
54,0,EXT1,21.978804,1.5253661,4.594134170655352e-107,1.4545028784294844e-104
56,0,ARHGAP21,21.910791,1.5042363,2.0499126408126054e-106,6.262303300784193e-104
57,0,DBN1,21.823923,1.6236703,1.3754129154322416e-105,4.1293215683485556e-103
62,0,SMYD3,21.526394,1.525489,8.812969135766741e-103,2.435876691446131e-100
63,0,RNF165,21.521046,1.5717057,9.890791679929917e-103,2.691068055040932e-100
64,0,ENSHGLG00000008867,21.491474,1.6202513,1.8707808376927117e-102,5.011677957960491e-100
65,0,AKT3,21.456257,1.5725957,3.991795930865517e-102,1.0531688264266856e-99
68,0,SANBR,21.332829,1.5735786,5.629961004802405e-101,1.4207900141539748e-98
81,0,KHDRBS3,20.816793,1.509848,3.0491903830162848e-96,6.475067334080802e-94
84,0,SACS,20.691164,1.5044001,4.1604222576869146e-95,8.522992090953204e-93
90,0,YTHDC2,20.517626,1.5012543,1.4985512319693224e-93,2.867502483767232e-91
92,0,KLC1,20.444134,1.5088506,6.775092663653546e-93,1.2685450381956903e-90
95,0,WNK2,20.390009,1.5187703,2.0510688620843115e-92,3.720339801611887e-90
105,0,ENSHGLG00000016114,20.177097,1.5685741,1.5562071899742327e-90,2.556437339530313e-88
110,0,RORB,20.013018,1.531199,4.241740630982843e-89,6.654182847504887e-87
114,0,THRB,19.936953,1.5451477,1.945639704553562e-88,2.9460368848166237e-86
115,0,ENSHGLG00000011155,19.936186,1.5016087,1.9756463297484395e-88,2.9656835810266876e-86
122,0,OSBPL1A,19.817564,1.5269003,2.100355858300993e-87,2.973455004926438e-85
135,0,RGL1,19.616905,1.529428,1.1090295242468583e-85,1.4199655224787165e-83
152,0,ANTXR1,19.29179,1.5108186,6.295429093832084e-83,7.164856654307064e-81
163,0,DPYSL3,19.08093,1.5669758,3.6371911046722407e-81,3.861854189369374e-79
166,0,PPP2R1B,19.017466,1.505043,1.2225295838963299e-80,1.2747250086459157e-78
175,0,BASP1,18.929823,1.5695454,6.477924057443708e-80,6.409096114333369e-78
177,0,LRCH1,18.925995,1.5107951,6.966215674355088e-80,6.814759187502536e-78
181,0,MORF4L2,18.871727,1.5245711,1.9482734954833542e-79,1.8640267240028375e-77
185,0,MAPK9,18.85787,1.5733705,2.5321617414388082e-79,2.3705662582620414e-77
205,0,CRMP1,18.591036,1.596766,3.797728795152072e-77,3.2101869665040305e-75
207,0,B4GALT6,18.581442,1.5425985,4.5414199963426e-77,3.801910884438158e-75
208,0,ENSHGLG00000001850,18.575031,1.5153414,5.117511293887788e-77,4.263694935907562e-75
209,0,GNB1,18.573292,1.5185944,5.285982997307775e-77,4.3830867586723944e-75
248,0,C18orf25,18.17329,1.6811244,8.400495787626194e-74,5.874611773089756e-72
262,0,UBE2E3,18.010881,1.522871,1.600587256591077e-72,1.0597348250578108e-70
266,0,SEZ6L2,17.9797,1.5040565,2.810066882586663e-72,1.8326477388195343e-70
343,0,ENSHGLG00000009040,17.354193,1.544162,1.8335886942448812e-67,9.281476724676197e-66
375,0,CXXC4,17.068932,1.6831502,2.527826081162622e-65,1.1706658391299133e-63
378,0,NPTN,17.039877,1.5009832,4.155984106807567e-65,1.9094499011039624e-63
473,0,MACROH2A1,16.389933,1.5576651,2.2569145432629414e-60,8.291066021484726e-59
554,0,CNRIP1,15.991161,1.7973979,1.472607542570345e-57,4.6202729979779125e-56
585,0,ADD2,15.812949,1.5656593,2.533264304344998e-56,7.52759920333779e-55
864,0,CXADR,14.35585,1.6654129,9.791731484874725e-47,1.9711378074696366e-45
889,0,SNX7,14.218292,1.553724,7.055370646197888e-46,1.3803951580027394e-44
915,0,PPP3R1,14.112381,1.6662161,3.186368696827949e-45,6.05723123557479e-44
919,0,NDRG4,14.095786,1.5356497,4.03133379835726e-45,7.6301755903038e-44
1110,0,MAT2A,13.201155,1.5072411,8.640068844890404e-40,1.3541810872734169e-38
1225,0,EIF4A2,12.706033,1.5612596,5.474178503243847e-37,7.775030202037937e-36
1285,0,RINT1,12.426179,1.5098722,1.884282930946229e-35,2.5514011412571293e-34
1291,0,COLGALT2,12.3877,1.5605227,3.0465448230107307e-35,4.105997291260515e-34
1292,0,UCHL1,12.375179,1.8729919,3.560978262929595e-35,4.795615970022663e-34
1351,0,GNG3,12.158766,1.6346205,5.153163440725999e-34,6.636984836787116e-33
1390,0,SPIN1,12.007429,1.5038439,3.247843842495213e-33,4.065758794347171e-32
1402,0,ADGRG6,11.968161,1.6584268,5.217217591009653e-33,6.475225225392095e-32
1695,0,RFC2,10.914381,1.5058337,9.839752739463353e-28,1.0102571606855859e-26
17413,1,TLE4,47.271282,5.8378754,0.0,0.0
17414,1,SOX5,37.553352,3.4275525,1.242067358017027e-308,1.0814059452575247e-304
17417,1,KIAA1217,36.10424,4.373006,1.9458846976597022e-285,6.7767380480696794e-282
17418,1,RGS6,35.02781,3.7411997,8.490827049924345e-269,2.46417952367221e-265
17419,1,DLC1,32.91708,4.063258,1.2521447622828426e-237,2.422621860625682e-234
17420,1,DOK6,32.814533,3.5221684,3.653498027039632e-236,6.361836114484112e-233
17421,1,ZFPM2,32.027164,4.221548,4.566112132323441e-225,7.228155505468008e-222
17422,1,FOXP2,31.655537,4.412373,6.363051743539089e-220,9.23331833418718e-217
17424,1,GRIA3,30.246391,2.8813617,5.819685188215708e-201,5.9610693048470654e-198
17425,1,GARNL3,27.44522,3.1561897,7.922647638375184e-166,6.270775605773958e-163
17428,1,KHDRBS3,26.04765,2.3326967,1.4304363241074382e-149,8.034899261833168e-147
17429,1,GRIK3,26.027636,3.6252692,2.410562026283551e-149,1.271973229202287e-146
17432,1,SLC35F1,24.524649,2.5493767,8.064538165135518e-133,3.3435191207024947e-130
17433,1,EPHB1,24.103626,2.994658,2.290176243104052e-128,8.669312808950186e-126
17434,1,PDE1A,23.884335,2.5047367,4.455998784468934e-126,1.6165063923741157e-123
17436,1,Oprm1,23.807156,3.2388422,2.815853385420165e-125,9.614206862808103e-123
